question,answer,category,difficulty
"전세권 등기 말소는 언제 가능한가요?","전세권 등기는 전세 계약 종료 시 말소할 수 있습니다. 보증금을 반환받은 후 임대인과 임차인이 공동으로 말소신청을 하거나, 임차인이 단독으로 말소할 수 있습니다.",부동산물권,초급
"부동산 매매계약에서 중간생략등기가 가능한가요?","중간생략등기는 원칙적으로 불가능합니다. 부동산 물권변동은 등기를 통해 공시되어야 하며, 모든 권리변동 과정이 등기부에 기재되어야 합니다. 다만 매매예약 등 특수한 경우에는 예외가 인정될 수 있습니다.",부동산물권,고급
"건물신축을 위한 토지 임차권의 대항력은 언제 생기나요?","건물신축을 위한 토지 임차권의 대항력은 건물이 완성되고 건물등기를 마친 때부터 생깁니다. 토지 임차권만으로는 대항력이 없으며, 건물의 완성과 등기가 모두 필요합니다.",부동산물권,고급
"공동담보 설정 시 각 부동산의 담보가치는 어떻게 평가되나요?","공동담보 설정 시 각 부동산의 시가를 기준으로 담보가치를 평가합니다. 근저당권의 경우 극한액 범위 내에서 각 부동산의 가치 비율에 따라 담보책임을 부담합니다.",부동산물권,중급
"부동산 경매에서 임차권의 효력은 어떻게 되나요?","부동산 경매에서 임차권은 대항력과 우선변제권의 유무에 따라 효력이 달라집니다. 대항력이 있는 임차권은 경매로도 소멸하지 않으며, 우선변제권이 있다면 배당을 받을 수 있습니다.",부동산물권,고급
"전세 사기 피해자가 임시거처를 제공받을 수 있나요?","네, 전세 사기 피해자는 정부의 긴급주거지원을 통해 임시거처를 제공받을 수 있습니다. 전세피해지원센터에 신청하면 공공임대주택이나 전세임대주택을 우선 공급받을 수 있습니다.",전세사기,초급
"전세 계약서 없이 전세 사기를 당한 경우 어떻게 해야 하나요?","전세 계약서가 없어도 계약금 지급 영수증, 은행 이체 내역, 문자 메시지, 증인 등을 통해 전세 계약 사실을 입증할 수 있습니다. 이러한 증거들을 수집하여 법적 대응을 할 수 있습니다.",전세사기,중급
"전세 사기 가해자에 대한 형사처벌은 어떻게 되나요?","전세 사기 가해자는 사기죄로 10년 이하의 징역 또는 2천만원 이하의 벌금에 처해질 수 있습니다. 피해 규모가 큰 경우 가중처벌되며, 배임죄나 횡령죄가 함께 적용될 수 있습니다.",전세사기,중급
"전세 사기 특별법의 주요 내용은 무엇인가요?","전세 사기 특별법은 피해자 구제를 위한 특별절차를 규정합니다. 주요 내용으로는 전세피해지원센터 설치, 긴급주거지원, 전세보증금 대출 상환 유예, 피해자 우선 공공임대주택 공급, 가해자 처벌 강화 등이 있습니다.",전세사기,중급
"전세보증금 반환보증보험 가입 시 보험료는 누가 부담하나요?","전세보증금 반환보증보험의 보험료는 일반적으로 임차인이 부담합니다. 보험료율은 전세보증금의 0.128%~0.175% 수준이며, 임대인의 동의 없이도 가입할 수 있습니다.",전세사기,초급
"전세 계약 해지 시 임대인이 보증금 반환을 지연하면 어떻게 되나요?","전세 계약 해지 후 임대인이 보증금 반환을 지연하면 연 6%의 지연이자를 지급해야 합니다. 정당한 사유 없이 지연하는 경우 손해배상책임도 부담하며, 강제집행을 통해 보증금을 회수할 수 있습니다.",전세사기,중급
"전세보증금을 안전하게 보호하는 방법은 무엇인가요?","전세보증금 보호를 위해서는 전세권 등기, 전세보증보험 가입, 등기부 확인을 통한 선순위 채권 파악, 집값 대비 적정한 전세가 책정, 신뢰할 수 있는 중개업체 이용 등이 필요합니다.",전세사기,중급
"갭투자로 인한 전세 사기 위험성은 무엇인가요?","갭투자는 전세보증금으로 주택 구입자금을 조달하는 방식으로, 집값 하락 시 전세보증금 회수가 어려워집니다. 임대인의 자산 상태와 대출 규모를 파악하여 투자 위험을 사전에 확인해야 합니다.",전세사기,중급
"전세 사기 피해자의 우선변제권은 어떻게 행사하나요?","전세 사기 피해자는 주택임대차보호법상 대항력과 우선변제권을 갖습니다. 경매 절차에서 배당요구를 하여 선순위 담보권자 다음으로 우선 변제받을 수 있습니다.",전세사기,고급
"전세 사기 예방을 위한 확정일자의 역할은 무엇인가요?","확정일자는 전세 계약서에 관할 세무서나 구청에서 받는 날짜 도장으로, 우선변제권 순위를 결정하는 기준이 됩니다. 확정일자를 받지 않으면 대항력은 있지만 우선변제권은 없습니다.",전세사기,중급
"임대인이 여러 명에게 같은 집을 전세로 준 경우 어떻게 되나요?","임대인이 같은 집을 여러 명에게 전세로 준 경우, 먼저 입주하고 전입신고를 완료한 임차인이 대항력을 갖습니다. 확정일자를 먼저 받은 임차인이 우선변제권에서 우선합니다.",전세사기,고급
"전세 계약 중 집주인이 사망한 경우 어떻게 되나요?","집주인이 사망해도 전세 계약은 유효하게 승계됩니다. 상속인들이 임대인의 지위를 승계하며, 전세보증금 반환 의무도 함께 승계됩니다. 상속 포기 시에는 상속재산관리인을 선임해야 합니다.",전세사기,중급
"전세 사기 피해 시 민사소송과 형사고발을 동시에 할 수 있나요?","네, 가능합니다. 민사소송과 형사고발은 별개의 절차이므로 동시에 진행할 수 있습니다. 형사고발을 통해 가해자를 처벌하고, 민사소송을 통해 손해배상을 청구할 수 있습니다.",전세사기,중급
"전세 사기 의심 시 신고할 수 있는 기관은 어디인가요?","전세 사기 의심 시 경찰서, 국토교통부 전세피해지원센터, 한국토지주택공사(LH) 전세피해신고센터, 각 지방자치단체 전세피해 신고처 등에 신고할 수 있습니다.",전세사기,초급
"전세 계약서 작성 시 반드시 포함해야 할 내용은 무엇인가요?","전세 계약서에는 당사자 정보, 목적물의 표시, 전세보증금, 존속기간, 임대인 인감날인, 중개업자 정보, 특약사항 등이 포함되어야 합니다. 또한 등기부상 권리관계를 확인하고 기재해야 합니다.",전세사기,중급
"전세 사기 피해자를 위한 전세자금대출 상환 유예는 어떻게 되나요?","전세 사기 피해자는 전세자금대출 상환을 최대 2년까지 유예받을 수 있습니다. 피해 신고 후 전세피해지원센터를 통해 관련 금융기관에 신청하면 이자 부담 경감 등의 혜택을 받을 수 있습니다.",전세사기,중급
"전세 사기 재발 방지를 위한 제도적 개선 방안은 무엇인가요?","전세 사기 재발 방지를 위해 전월세 신고제 도입, 전세보증보험 의무화, 부동산 실거래가 공개 확대, 임대사업자 등록 의무화, 전세가 대비 집값 비율 제한 등이 논의되고 있습니다.",전세사기,고급
"지분권자 중 일부만 전세 계약에 동의한 경우 계약의 효력은 어떻게 되나요?","공동소유 부동산에서 지분권자 중 일부만 전세 계약에 동의한 경우, 동의하지 않은 지분권자에 대해서는 계약이 무효입니다. 전체 지분권자의 동의 없이는 완전한 전세 계약이 성립하지 않습니다.",부동산물권,고급
"부동산 전세권 등기 시 공동담보 설정이 필요한 경우는 언제인가요?","건물과 토지가 다른 소유자에게 속하거나, 건물의 부속토지가 여러 필지인 경우 공동담보 설정이 필요합니다. 또한 전세보증금이 건물 가치를 초과하는 경우에도 토지에 공동담보를 설정할 수 있습니다.",부동산물권,중급
"미등기 건물에 대한 전세 계약의 효력은 어떻게 되나요?","미등기 건물에 대한 전세 계약도 유효합니다. 다만 전세권 등기를 할 수 없으므로 주택임대차보호법상 보호를 받아야 합니다. 입주와 전입신고를 통해 대항력을 취득할 수 있습니다.",부동산물권,중급
"부동산 소유권 이전 시 기존 임차인의 권리는 어떻게 되나요?","부동산 소유권 이전 시 대항력이 있는 임차인의 권리는 새로운 소유자에게 승계됩니다. 임차인은 새로운 소유자에게 임차권을 주장할 수 있으며, 보증금 반환 의무도 승계됩니다.",부동산물권,중급
"부동산 경매에서 임차인이 보증금을 배당받는 절차는 어떻게 되나요?","부동산 경매에서 임차인은 배당요구를 하여 보증금을 배당받을 수 있습니다. 대항력과 우선변제권이 있는 임차인은 선순위 담보권자보다 우선하여 배당받을 수 있습니다.",부동산물권,중급
"부동산 물권의 대항력과 우선변제권의 차이는 무엇인가요?","대항력은 제3자에게 권리를 주장할 수 있는 효력이고, 우선변제권은 경매 등에서 다른 채권자보다 우선하여 배당받을 수 있는 권리입니다. 대항력이 있어도 우선변제권이 없으면 배당에서 후순위가 됩니다.",부동산물권,중급
"부동산 담보권의 실행 방법에는 어떤 것들이 있나요?","부동산 담보권의 실행 방법으로는 경매, 임의경매, 담보권 실행을 위한 임의처분 등이 있습니다. 근저당권자는 채무불이행 시 담보부동산을 경매에 부쳐 채권을 회수할 수 있습니다.",부동산물권,중급
"부동산 등기의 공신력이 인정되는 경우는 언제인가요?","우리나라는 등기에 공신력을 인정하지 않는 것이 원칙입니다. 다만 제3자가 등기를 믿고 거래한 경우 선의·무과실이면 보호받을 수 있는 경우가 있습니다. 이는 매우 제한적으로 인정됩니다.",부동산물권,고급
"부동산 가등기담보의 법적 성질은 무엇인가요?","가등기담보는 담보의 목적으로 설정하는 가등기로, 담보권의 성질을 갖습니다. 채무불이행 시 가등기를 본등기로 이전하여 소유권을 취득하지만, 청산의무가 있어 과도한 이익을 방지합니다.",부동산물권,고급
"부동산 취득시효 완성 후 등기 절차는 어떻게 되나요?","취득시효 완성 후에는 시효취득자가 등기를 신청할 수 있습니다. 진정한 소유자의 협력을 얻어 소유권이전등기를 하거나, 협력을 거부하면 소유권이전등기청구소송을 제기할 수 있습니다.",부동산물권,중급
"부동산 공동소유에서 지분처분의 제한은 있나요?","공동소유자는 자신의 지분을 자유롭게 처분할 수 있습니다. 다만 다른 공동소유자에게 우선매수권이 있는 경우가 있으며, 전체 부동산의 처분에는 모든 공동소유자의 동의가 필요합니다.",부동산물권,중급
"부동산 유치권의 성립 요건은 무엇인가요?","부동산 유치권은 부동산에 관하여 생긴 채권을 담보하기 위해 그 부동산을 유치할 수 있는 권리입니다. 채권과 목적물 사이의 견련관계, 채권의 변제기 도래, 목적물의 점유 등이 성립 요건입니다.",부동산물권,중급
"부동산 전세권의 소멸 사유는 무엇인가요?","전세권은 존속기간 만료, 목적물의 멸실, 전세권의 포기, 전세권자의 용법위반으로 인한 해지, 혼동 등으로 소멸합니다. 소멸 시 전세권 등기도 함께 말소되어야 합니다.",부동산물권,중급
"부동산 매매계약에서 위험부담은 누가 지나요?","부동산 매매계약에서 소유권 이전 전까지는 매도인이 위험을 부담하는 것이 원칙입니다. 다만 매수인의 책임 있는 사유로 인한 경우에는 매수인이 위험을 부담할 수 있습니다.",부동산물권,중급
"부동산 경매에서 법정지상권이 성립하는 경우는 언제인가요?","토지와 건물이 동일인 소유였다가 경매로 소유자가 달라진 경우, 건물의 존속을 위해 법정지상권이 성립합니다. 건물이 경매되면 토지에 대한 지상권이, 토지가 경매되면 건물을 위한 지상권이 성립합니다.",부동산물권,고급
